#,Loan Product / Variant,Max Loan Amount,Tenure,Co-app?,Min CIBIL,Age,Min. Income (pm),LTV Ratio,,,
1,Regular (Salaried),No Upper Limit,30 Yrs,Yes,750+,18–70,"₹25,000",75%–90%,,,
2,Regular (Non-Salaried),No Upper Limit,30 Yrs,Yes,750+,18–70,"₹50,000",75%–80%,,,
3,SBI Privilege (Govt Emp),Based on NMI,30 Yrs,Yes,725+,18–75,"₹25,000",80%–90%,,,
4,SBI Shaurya (Defense),Based on NMI,30 Yrs,Yes,725+,18–75,"₹25,000",80%–90%,,,
5,SBI Flexipay (Step-up EMI),1.2x Eligibility,30 Yrs,Yes,750+,21–45,"₹30,000",80%–90%,,,
6,SBI Maxgain (Overdraft),Above ₹20L,30 Yrs,Yes,750+,18–70,"₹25,000",75%–80%,,,
7,SBI Realty (Plot Loan),Up to ₹15 Cr,10 Yrs,Yes,750+,18–65,"₹25,000",Up to 70%,,,
8,NRI Home Loan,No Upper Limit,30 Yrs,Yes,750+,18–60,"₹50,000",75%–80%,,,
9,SBI Tribal Plus,Up to ₹20 Lakhs,15 Yrs,Yes,650+,21–60,"₹20,000",75%–80%,,,
10,SBI PAL (Pre-Approved),Sanction Letter,30 Yrs,Yes,750+,18–70,"₹25,000",80%–90%,,,
11,SBI Top-up (Term Loan),Up to ₹5 Cr,30 Yrs,Yes,700+,18–70,"₹25,000",75% Total,,,
12,SBI Top-up (Overdraft),Up to ₹2 Cr,30 Yrs,Yes,725+,18–70,"₹30,000",75% Total,,,
13,YONO Insta Top-up (Pre-sel),Up to ₹10 Lakhs,10 Yrs,No,750+,18–65,Existing,75% Total,,,
14,Home Extension Loan,Construction Cost,30 Yrs,Yes,700+,18–70,"₹25,000",80%,,,
15,Home Repair/Renovation,Up to ₹15 Lakhs,15 Yrs,Yes,700+,18–70,"₹20,000",80%,,,
16,Corporate Home Loan,Profile-based,30 Yrs,Yes,750+,18–70,Corporate,80%,,,
17,Balance Transfer (Takeover),Outstanding Amt,Rem. Ten.,Yes,750+,18–70,"₹25,000",80%,,,
18,Bridge Home Loan,Based on Sale,2 Yrs,Yes,750+,18–70,"₹25,000",80%,,,
19,CRE Home Loan (2nd Home),Profile-based,30 Yrs,Yes,750+,18–70,"₹30,000",75%,,,
20,PMAY (Credit Linked),Up to ₹12 Lakhs,20 Yrs,Yes,600+,18–70,LIG/MIG,90%,,,
21,SBI Surya Ghar (Solar),Up to ₹6 Lakhs,10 Yrs,Yes,700+,18–70,"₹25,000",90%,,,
22,Gram Niwas (Rural),Up to ₹5 Lakhs,15 Yrs,Yes,650+,18–70,"₹10,000",85%,,,
23,Sahyog Niwas (SHG),"Up to ₹50,000",5 Yrs,No,N/A,18–60,Group,90%,,,
24,Green Home Loan (Certified),Profile-based,30 Yrs,Yes,750+,18–70,"₹25,000",80%–95%,,,
25,Earnest Money Deposit (EMD),100% of EMD,1 Yr,No,725+,21–70,"₹25,000",100%,,,
26,Reverse Mortgage (Senior),Up to ₹1 Cr,20 Yrs,Spouse,650+,60+,N/A,60%,,,
27,IHTL (Insta Home Top-up),Up to ₹5 Lakhs,10 Yrs,No,650+,18–65,Existing,75% Total,,,
28,Composite (Plot + Const),Cost of Both,30 Yrs,Yes,750+,18–70,"₹25,000",75%–80%,,,
29,P-LAP (Personal LAP),Up to ₹7.5 Cr,15 Yrs,Yes,700+,18–70,"₹25,000",60%–65%,,,
30,Commercial Plot Loan,Profile-based,10 Yrs,Yes,750+,18–65,"₹50,000",60%,,,
31,Standard Housing (Salaried),Up to ₹10 Cr+,30 Yrs,Yes,750+,21–65,"₹10,000",75%–90%,,,
32,Standard (Self-Employed Prof),Up to ₹10 Cr+,30 Yrs,Yes,750+,21–65,₹2L (Annual),75%–80%,,,
33,HDFC Reach (Informal Income),Up to ₹50 Lakhs,30 Yrs,Yes,680+,18–70,"₹20,000",75%–80%,,,
34,HDFC Reach (Micro-Ent),Up to ₹35 Lakhs,25 Yrs,Yes,680+,21–70,"₹25,000",70%–75%,,,
35,HDFC Plot Loan (Land),Up to ₹5 Cr,15 Yrs,Yes,750+,21–65,"₹15,000",Up to 75%,,,
36,Rural Housing (Agriculturists),Profile-based,20 Yrs,Yes,650+,18–70,Farm Land,75%,,,
37,Rural Housing (Salaried),Profile-based,30 Yrs,Yes,700+,21–65,"₹10,000",80%,,,
38,HDFC Maxvantage (Overdraft),Above ₹20L,30 Yrs,Yes,750+,21–65,"₹35,000",75%,,,
39,Home Extension Loan,Cost-based,20 Yrs,Yes,725+,21–65,"₹15,000",80%,,,
40,Home Improvement (Renovation),Up to ₹50 Lakhs,15 Yrs,Yes,720+,21–65,"₹15,000",80%,,,
41,HDFC TruFixed (2-Yr Fixed),No Upper Limit,30 Yrs,Yes,750+,21–65,"₹25,000",75%–90%,,,
42,NRI Home Loan (Standard),Profile-based,30 Yrs,Yes,750+,21–60,"₹50,000",75%–80%,,,
43,NRI Plot Loan,Up to ₹3 Cr,15 Yrs,Yes,750+,21–60,"₹75,000",70%,,,
44,Refinance (Balance Transfer),Outstanding,Rem. Ten.,Yes,750+,21–65,"₹20,000",80%,,,
45,Top-Up Loan (Existing Cust),Up to ₹50 Lakhs,15 Yrs,Yes,725+,21–65,Existing,75% Total,,,
46,HDFC Reach Top-Up,Up to ₹25 Lakhs,15 Yrs,Yes,700+,21–70,Existing,70% Total,,,
47,Pre-Approved Home Loan,Sanction Limit,30 Yrs,Yes,750+,21–65,"₹25,000",80%–90%,,,
48,PMAY Integrated (CLSS),Up to ₹12 Lakhs,20 Yrs,Yes,600+,18–70,LIG/MIG,90%,,,
49,Govt Employee Special,Profile-based,30 Yrs,Yes,725+,21–70,"₹15,000",80%–90%,,,
50,Telescopic Repayment (Young),Higher Funding,30 Yrs,Yes,750+,21–35,"₹30,000",80%–90%,,,
51,Short-term Bridging Loan,Property Sale,2 Yrs,Yes,750+,21–65,"₹30,000",80%,,,
52,Step-Up Repayment (SURF),Incremental,30 Yrs,Yes,750+,21–40,"₹25,000",85%,,,
53,Step-Down Repayment (FLIP),Decremental,30 Yrs,Yes,750+,45–60,"₹50,000",75%,,,
54,HDFC Reach (New to Credit),Up to ₹25 Lakhs,20 Yrs,Yes,N/A (Score 0),21–65,"₹25,000",70%,,,
55,Second Home Loan,Profile-based,30 Yrs,Yes,750+,21–65,"₹40,000",75%,,,
56,Construction Loan (Self-Built),Cost of Const.,30 Yrs,Yes,725+,21–65,"₹15,000",80%,,,
57,HDFC Reach (Commercial),Up to ₹50 Lakhs,15 Yrs,Yes,700+,21–65,"₹30,000",60%,,,
58,Insta Top-Up (Digital),Up to ₹10 Lakhs,10 Yrs,No,750+,21–60,Existing,75% Total,,,
59,HDFC Green Home Loan,Profile-based,30 Yrs,Yes,750+,21–65,"₹25,000",80%–90%,,,
60,HDFC Reach (Plot purchase),Up to ₹25 Lakhs,15 Yrs,Yes,680+,21–70,"₹20,000",75%,,,
61,Instant Home Loan (Digital),Up to ₹5 Cr,30 Yrs,Yes,750+,21–60,"₹25,000",75%–90%,,,
62,Standard Housing (Salaried),No Upper Limit,30 Yrs,Yes,725+,21–60,"₹20,000",75%–90%,,,
63,Standard (Self-Employed),No Upper Limit,25 Yrs,Yes,750+,25–70,"₹40,000",75%–80%,,,
64,ICICI Step-Up (Young Prof),1.15x Eligibility,25 Yrs,Yes,750+,21–40,"₹30,000",80%–90%,,,
65,Money Saver (Overdraft),Above ₹20L,30 Yrs,Yes,750+,23–65,"₹35,000",75%,,,
66,Express Home Loan (Online),Up to ₹5 Cr,30 Yrs,Yes,750+,21–60,"₹25,000",80%–90%,,,
67,NRI Home Loan (Salaried),Profile-based,30 Yrs,Yes,750+,21–60,"USD 3,500*",75%–80%,,,
68,NRI Home Loan (S-Employed),Profile-based,20 Yrs,Yes,750+,25–60,"USD 5,000*",70%–75%,,,
69,Pratham (Affordable),Up to ₹50 Lakhs,20 Yrs,Yes,650+,21–65,"₹12,000",85%–90%,,,
70,ICICI HFC (Informal Income),Up to ₹40 Lakhs,20 Yrs,Yes,650+,23–70,No Proof*,75%–80%,,,
71,Land/Plot Purchase Loan,Up to ₹5 Cr,20 Yrs,Yes,750+,21–65,"₹25,000",Up to 75%,,,
72,Balance Transfer (Takeover),Outstanding,Rem. Ten.,Yes,750+,21–65,"₹25,000",80%,,,
73,Top-Up Loan (Existing),Up to ₹5 Cr,20 Yrs,Yes,700+,21–65,Existing,75% Total,,,
